cik,date,url
946738,5/28/2003,https://www.sec.gov//Archives/edgar/data/946738/000102140803008270/0001021408-03-008270-index.htm
1750,4/27/2015,https://www.sec.gov//Archives/edgar/data/1750/000104746915003956/0001047469-15-003956-index.htm
1551152,5/1/2018,https://www.sec.gov//Archives/edgar/data/1551152/000104746918003373/0001047469-18-003373-index.htm
846676,5/22/2018,https://www.sec.gov//Archives/edgar/data/846676/000110465918034909/0001104659-18-034909-index.htm
846676,4/30/2010,https://www.sec.gov//Archives/edgar/data/846676/000110465910023644/0001104659-10-023644-index.htm
846676,5/22/2018,https://www.sec.gov//Archives/edgar/data/846676/000110465918034909/0001104659-18-034909-index.htm
846676,4/30/2010,https://www.sec.gov//Archives/edgar/data/846676/000110465910023644/0001104659-10-023644-index.htm
864415,2/14/2012,https://www.sec.gov//Archives/edgar/data/864415/000110465912009444/0001104659-12-009444-index.htm
899629,12/20/2001,https://www.sec.gov//Archives/edgar/data/899629/000095011601501278/0000950116-01-501278-index.htm
1295721,5/13/2008,https://www.sec.gov//Archives/edgar/data/1295721/000120621208000116/0001206212-08-000116-index.htm
1295721,12/6/2007,https://www.sec.gov//Archives/edgar/data/1295721/000120621207000316/0001206212-07-000316-index.htm
1342068,8/24/2015,https://www.sec.gov//Archives/edgar/data/1342068/000114420415051408/0001144204-15-051408-index.htm
1342068,8/20/2014,https://www.sec.gov//Archives/edgar/data/1342068/000114420414051650/0001144204-14-051650-index.htm
1085621,11/7/2016,https://www.sec.gov//Archives/edgar/data/1085621/000119312516761333/0001193125-16-761333-index.htm
1062478,11/5/2008,https://www.sec.gov//Archives/edgar/data/1062478/000095013408019483/0000950134-08-019483-index.htm
1062478,11/5/2008,https://www.sec.gov//Archives/edgar/data/1062478/000095013408019483/0000950134-08-019483-index.htm
733269,11/13/2018,https://www.sec.gov//Archives/edgar/data/733269/000119312518324979/0001193125-18-324979-index.htm
733269,8/7/2006,https://www.sec.gov//Archives/edgar/data/733269/000119312506163184/0001193125-06-163184-index.htm
733269,11/13/2018,https://www.sec.gov//Archives/edgar/data/733269/000119312518324979/0001193125-18-324979-index.htm
733269,8/7/2006,https://www.sec.gov//Archives/edgar/data/733269/000119312506163184/0001193125-06-163184-index.htm
1000753,12/8/2015,https://www.sec.gov//Archives/edgar/data/1000753/000119312515397182/0001193125-15-397182-index.htm
1000753,11/26/2012,https://www.sec.gov//Archives/edgar/data/1000753/000119312512480193/0001193125-12-480193-index.htm
1515156,5/8/2017,https://www.sec.gov//Archives/edgar/data/1515156/000151515617000045/0001515156-17-000045-index.htm
1080014,10/30/2015,https://www.sec.gov//Archives/edgar/data/1080014/000104746915008165/0001047469-15-008165-index.htm
913614,7/26/2005,https://www.sec.gov//Archives/edgar/data/913614/000107997305000510/0001079973-05-000510-index.htm
2135,2/9/2006,https://www.sec.gov//Archives/edgar/data/2135/000095013406002346/0000950134-06-002346-index.htm
933405,12/16/2003,https://www.sec.gov//Archives/edgar/data/933405/000104746903041062/0001047469-03-041062-index.htm
832488,11/2/2015,https://www.sec.gov//Archives/edgar/data/832488/000114420415062063/0001144204-15-062063-index.htm
1090872,11/15/2005,https://www.sec.gov//Archives/edgar/data/1090872/000104746905027027/0001047469-05-027027-index.htm
78749,8/21/2007,https://www.sec.gov//Archives/edgar/data/78749/000095015207007008/0000950152-07-007008-index.htm
701288,3/18/2003,https://www.sec.gov//Archives/edgar/data/701288/000095014403003273/0000950144-03-003273-index.htm
701288,11/26/2001,https://www.sec.gov//Archives/edgar/data/701288/000095014401509543/0000950144-01-509543-index.htm
3370,11/21/2007,https://www.sec.gov//Archives/edgar/data/3370/000119312507252247/0001193125-07-252247-index.htm
902272,8/24/2007,https://www.sec.gov//Archives/edgar/data/902272/000111667907002238/0001116679-07-002238-index.htm
3545,9/5/2018,https://www.sec.gov//Archives/edgar/data/3545/000138713118004519/0001387131-18-004519-index.htm
2491,4/8/2011,https://www.sec.gov//Archives/edgar/data/2491/000104746911003398/0001047469-11-003398-index.htm
913293,8/25/2006,https://www.sec.gov//Archives/edgar/data/913293/000119312506179571/0001193125-06-179571-index.htm
913293,8/25/2006,https://www.sec.gov//Archives/edgar/data/913293/000119312506179571/0001193125-06-179571-index.htm
895655,1/26/2012,https://www.sec.gov//Archives/edgar/data/895655/000119312512024200/0001193125-12-024200-index.htm
1387467,6/8/2015,https://www.sec.gov//Archives/edgar/data/1387467/000117494715001014/0001174947-15-001014-index.htm
1324205,12/19/2007,https://www.sec.gov//Archives/edgar/data/1324205/000101968707004370/0001019687-07-004370-index.htm
1011006,6/7/2018,https://www.sec.gov//Archives/edgar/data/1011006/000119312518186130/0001193125-18-186130-index.htm
1011006,5/16/2017,https://www.sec.gov//Archives/edgar/data/1011006/000119312517171310/0001193125-17-171310-index.htm
1324205,12/19/2007,https://www.sec.gov//Archives/edgar/data/1324205/000101968707004370/0001019687-07-004370-index.htm
922408,2/6/2004,https://www.sec.gov//Archives/edgar/data/922408/000092240804000002/0000922408-04-000002-index.htm
1568162,5/1/2018,https://www.sec.gov//Archives/edgar/data/1568162/000114420418024010/0001144204-18-024010-index.htm
1568162,2/15/2018,https://www.sec.gov//Archives/edgar/data/1568162/000114420418009357/0001144204-18-009357-index.htm
5117,9/7/2005,https://www.sec.gov//Archives/edgar/data/5117/000119312505181613/0001193125-05-181613-index.htm
1526113,6/2/2015,https://www.sec.gov//Archives/edgar/data/1526113/000114420415035126/0001144204-15-035126-index.htm
1526113,6/2/2015,https://www.sec.gov//Archives/edgar/data/1526113/000114420415035126/0001144204-15-035126-index.htm
1561032,3/13/2018,https://www.sec.gov//Archives/edgar/data/1561032/000114420418014331/0001144204-18-014331-index.htm
1499875,4/7/2014,https://www.sec.gov//Archives/edgar/data/1499875/000114420414021248/0001144204-14-021248-index.htm
1595527,6/15/2018,https://www.sec.gov//Archives/edgar/data/1595527/000114420418034458/0001144204-18-034458-index.htm
1595527,2/6/2018,https://www.sec.gov//Archives/edgar/data/1595527/000114420418006063/0001144204-18-006063-index.htm
1474464,4/15/2014,https://www.sec.gov//Archives/edgar/data/1474464/000114420414022806/0001144204-14-022806-index.htm
1568162,5/1/2018,https://www.sec.gov//Archives/edgar/data/1568162/000114420418024010/0001144204-18-024010-index.htm
1568162,2/15/2018,https://www.sec.gov//Archives/edgar/data/1568162/000114420418009357/0001144204-18-009357-index.htm
1410997,3/1/2012,https://www.sec.gov//Archives/edgar/data/1410997/000114420412012198/0001144204-12-012198-index.htm
1595527,6/15/2018,https://www.sec.gov//Archives/edgar/data/1595527/000114420418034458/0001144204-18-034458-index.htm
1595527,2/6/2018,https://www.sec.gov//Archives/edgar/data/1595527/000114420418006063/0001144204-18-006063-index.htm
1065201,12/17/2004,https://www.sec.gov//Archives/edgar/data/1065201/000119312504215480/0001193125-04-215480-index.htm
318154,11/8/2011,https://www.sec.gov//Archives/edgar/data/318154/000119312511300937/0001193125-11-300937-index.htm
815353,6/19/2009,https://www.sec.gov//Archives/edgar/data/815353/000114420409033500/0001144204-09-033500-index.htm
1468516,6/28/2012,https://www.sec.gov//Archives/edgar/data/1468516/000119312512286617/0001193125-12-286617-index.htm
824803,4/23/2003,https://www.sec.gov//Archives/edgar/data/824803/000095013003003329/0000950130-03-003329-index.htm
1418121,5/18/2015,https://www.sec.gov//Archives/edgar/data/1418121/000118518515001346/0001185185-15-001346-index.htm
1418121,5/18/2015,https://www.sec.gov//Archives/edgar/data/1418121/000118518515001346/0001185185-15-001346-index.htm
1087277,10/10/2001,https://www.sec.gov//Archives/edgar/data/1087277/000100547701501310/0001005477-01-501310-index.htm
812482,5/19/2008,https://www.sec.gov//Archives/edgar/data/812482/000113379608000181/0001133796-08-000181-index.htm
1303849,11/17/2008,https://www.sec.gov//Archives/edgar/data/1303849/000114420408064915/0001144204-08-064915-index.htm
1303849,6/17/2008,https://www.sec.gov//Archives/edgar/data/1303849/000114420408035591/0001144204-08-035591-index.htm
1279228,2/8/2007,https://www.sec.gov//Archives/edgar/data/1279228/000089322007000236/0000893220-07-000236-index.htm
1095079,2/26/2001,https://www.sec.gov//Archives/edgar/data/1095079/000100547701001479/0001005477-01-001479-index.htm
1230869,9/1/2009,https://www.sec.gov//Archives/edgar/data/1230869/000089843209001124/0000898432-09-001124-index.htm
1230869,6/16/2008,https://www.sec.gov//Archives/edgar/data/1230869/000113379608000213/0001133796-08-000213-index.htm
1230869,9/1/2009,https://www.sec.gov//Archives/edgar/data/1230869/000089843209001124/0000898432-09-001124-index.htm
1230869,6/16/2008,https://www.sec.gov//Archives/edgar/data/1230869/000113379608000213/0001133796-08-000213-index.htm
1230869,9/1/2009,https://www.sec.gov//Archives/edgar/data/1230869/000089843209001124/0000898432-09-001124-index.htm
1230869,6/16/2008,https://www.sec.gov//Archives/edgar/data/1230869/000113379608000213/0001133796-08-000213-index.htm
795618,5/31/2002,https://www.sec.gov//Archives/edgar/data/795618/000095013002004060/0000950130-02-004060-index.htm
795618,11/6/2001,https://www.sec.gov//Archives/edgar/data/795618/000095010901504692/0000950109-01-504692-index.htm
795618,11/13/2000,https://www.sec.gov//Archives/edgar/data/795618/000095013000005926/0000950130-00-005926-index.htm
912729,2/15/2002,https://www.sec.gov//Archives/edgar/data/912729/000093506902000085/0000935069-02-000085-index.htm
1264707,5/9/2007,https://www.sec.gov//Archives/edgar/data/1264707/000095012407002782/0000950124-07-002782-index.htm
1001258,4/11/2016,https://www.sec.gov//Archives/edgar/data/1001258/000119312516536846/0001193125-16-536846-index.htm
933405,12/16/2003,https://www.sec.gov//Archives/edgar/data/933405/000104746903041062/0001047469-03-041062-index.htm
1279228,2/8/2007,https://www.sec.gov//Archives/edgar/data/1279228/000089322007000236/0000893220-07-000236-index.htm
