,lnp,lcp,anp,acp,hnp,hcp
2000,3172.493999999999,3344.0414999999994,4910.218999999999,4667.916499999999,6647.9439999999995,5991.791499999999
2001,1403.2007000000012,2766.680700000001,2237.5757000000067,3189.430700000008,3071.950700000016,3612.1807000000117
2002,-7825.324999999999,2425.250000000002,-3155.0500000000065,2981.5,1515.2249999999985,3537.75
2003,2658.5189999999984,3210.318999999996,4187.983999999997,3740.758999999998,5717.448999999997,4271.198999999997
2004,5.874000000005253,1383.9499999999935,3067.4739999999947,1953.5499999999956,6129.0740000000005,2523.149999999994
2005,1383.9500000000007,3304.5699999999997,5157.549999999999,4561.695000000003,8931.150000000001,5818.819999999989
2006,-848.1699999999946,2185.8399999999965,3968.9549999999945,3120.340000000004,8786.080000000002,4054.8399999999965
2007,4962.640000000001,7947.699999999997,10877.579999999998,9393.949999999997,16792.519999999982,10840.199999999997
2008,1394.630000000001,1639.3799999999974,2507.1300000000047,2235.6800000000003,3619.6300000000047,2831.979999999996
2009,209.15000000000146,317.7300000000032,471.6999999999971,437.8799999999974,734.2499999999854,558.0300000000061
2010,1329.6599999999962,1741.729999999996,2357.165000000001,2386.980000000003,3384.670000000013,3032.229999999996
2011,-3792.7350000000024,822.804999999993,1347.0149999999994,967.429999999993,6486.765000000014,1112.054999999993
2012,63.190000000005966,1250.4499999999898,1954.8849999999948,1590.429999999993,3846.5800000000163,1930.4099999999817
2013,-454.7900000000027,538.4500000000044,1020.385000000002,834.375,2495.560000000012,1130.300000000003
2014,325.7399999999998,938.9499999999898,2071.919999999969,1604.224999999984,3818.1000000000204,2269.4999999999854
2015,1026.1699999999983,1618.0199999999968,2932.994999999988,2327.7949999999983,4839.819999999949,3037.569999999978
2016,-1178.359999999997,617.6600000000035,1593.9900000000125,1062.6600000000035,4366.340000000011,1507.6600000000035
2017,-2265.9399999999987,668.3900000000067,1039.9650000000038,779.195000000007,4345.870000000024,890.0000000000146
2018,210.93000000000757,2610.37000000001,7320.695000000007,5732.0450000000055,14430.459999999992,8853.720000000001
2019,0.0,0.0,0.0,0.0,0.0,0.0
