,lnp,lcp,anp,acp,hnp,hcp
2000,1668.397500000001,1859.2200000000012,3601.3725000000013,3331.845000000003,5534.347500000002,4804.470000000003
2001,20.789999999999054,1537.4699999999993,948.914999999999,2007.7199999999993,1877.0400000000027,2477.9699999999993
2002,-10053.945,1348.380000000001,-4858.919999999996,1967.130000000001,336.1049999999923,2585.8799999999974
2003,1173.1499999999996,1786.9500000000025,2874.465000000002,2376.9900000000016,4575.780000000006,2967.030000000006
2004,-762.695999999999,770.2200000000048,2642.9040000000023,1403.820000000007,6048.504000000001,2037.4200000000055
2005,-298.98000000000116,1837.4399999999987,3898.6199999999862,3235.8149999999987,8096.219999999994,4634.189999999999
2006,-2160.1799999999985,1214.7300000000032,3198.194999999996,2254.230000000003,8556.570000000014,3293.730000000003
2007,1101.8700000000003,4422.330000000002,7681.410000000007,6031.0799999999945,14260.950000000012,7639.830000000009
2008,639.5400000000001,911.7899999999972,1877.0400000000009,1575.0899999999965,3114.540000000001,2238.3899999999994
2009,55.4399999999996,176.22000000000116,347.49000000000524,309.86999999998807,639.5399999999936,443.5199999999968
2010,512.8200000000006,971.190000000006,1655.7750000000015,1688.9400000000023,2798.729999999974,2406.689999999995
2011,-4676.264999999999,457.87499999999636,1040.9850000000079,618.7500000000073,6758.234999999986,779.6250000000073
2012,-624.6899999999978,695.9700000000048,1479.554999999993,1074.1500000000087,3583.8000000000175,1452.330000000009
2013,-804.8699999999999,299.9699999999975,836.054999999993,629.1450000000041,2476.9800000000105,958.3199999999997
2014,-160.38000000000193,521.7300000000105,1782.0000000000146,1261.755000000012,3724.37999999999,2001.780000000006
2015,242.55000000000064,900.8999999999942,2363.6249999999854,1690.4249999999884,4484.699999999997,2479.94999999999
2016,-1655.2799999999984,342.53999999999724,1428.570000000007,837.5400000000009,4512.420000000027,1332.5400000000009
2017,-2891.7899999999963,372.2400000000016,785.5650000000096,495.4950000000099,4462.919999999998,618.75
2018,-1217.7000000000007,1451.3399999999929,6690.914999999994,4923.764999999999,14599.52999999997,8396.190000000002
2019,0.0,0.0,0.0,0.0,0.0,0.0
