,lnp,lcp,anp,acp,hnp,hcp
2000,3528.953999999998,3719.776499999998,5461.928999999998,5192.401499999998,7394.904000000002,6665.0265
2001,1560.8637000000017,3077.5437,2488.9887,3547.793700000004,3417.1137000000017,4018.043700000002
2002,-8704.575,2697.75,-3509.550000000001,3316.5,1685.474999999995,3935.25
2003,2957.229000000002,3571.029000000006,4658.544000000011,4161.069000000007,6359.859000000008,4751.109000000008
2004,6.53400000000147,1539.4500000000007,3412.1339999999946,2173.0499999999993,6817.734000000004,2806.649999999998
2005,1539.449999999999,3675.8700000000026,5737.049999999992,5074.244999999992,9934.650000000001,6472.619999999995
2006,-943.4699999999975,2431.4399999999987,4414.904999999999,3470.9400000000023,9773.28000000002,4510.440000000002
2007,5520.24,8840.7,12099.779999999984,10449.44999999999,18679.319999999978,12058.19999999999
2008,1551.3300000000054,1823.5799999999872,2788.829999999987,2486.87999999999,4026.3300000000017,3150.179999999993
2009,232.65000000000146,353.4300000000003,524.6999999999971,487.08000000000175,816.7499999999854,620.7300000000032
2010,1479.0600000000013,1937.4300000000076,2622.0150000000067,2655.1800000000076,3764.970000000001,3372.9300000000076
2011,-4218.884999999997,915.2549999999901,1498.3649999999907,1076.12999999999,7215.614999999991,1237.00499999999
2012,70.29000000000633,1390.9500000000044,2174.534999999989,1769.1300000000047,4278.780000000013,2147.310000000005
2013,-505.8899999999958,598.9499999999971,1135.034999999989,928.125,2775.9599999999773,1257.2999999999738
2014,362.34000000000015,1044.4500000000044,2304.720000000001,1784.4749999999985,4247.100000000006,2524.5
2015,1141.4699999999993,1799.8199999999997,3262.544999999991,2589.344999999994,5383.619999999966,3378.869999999981
2016,-1310.7600000000002,687.0599999999977,1773.0900000000038,1182.0599999999977,4856.940000000017,1677.0600000000122
2017,-2520.5399999999972,743.489999999998,1156.814999999995,866.7449999999953,4834.169999999998,990.0
2018,234.6300000000083,2903.670000000013,8143.244999999995,6376.095000000016,16051.86,9848.520000000004
2019,0.0,0.0,0.0,0.0,0.0,0.0
