,lnp,lcp,anp,acp,hnp,hcp
2000,2597.0175,2787.84,4529.992500000004,4260.465000000002,6462.9675000000025,5733.090000000002
2001,793.9799999999996,2310.6600000000017,1722.1050000000014,2780.909999999998,2650.2299999999996,3251.159999999998
2002,-9379.755000000001,2022.5700000000033,-4184.730000000001,2641.3199999999997,1010.2949999999946,3260.0699999999997
2003,2065.1400000000012,2678.9400000000023,3766.454999999998,3268.980000000003,5467.770000000004,3859.020000000004
2004,-380.5560000000014,1152.359999999997,3025.0439999999944,1785.9599999999991,6430.643999999993,2419.5599999999977
2005,620.7300000000005,2757.150000000005,4818.329999999991,4155.5250000000015,9015.930000000015,5553.900000000005
2006,-1552.319999999997,1822.5900000000001,3806.0549999999967,2862.09,9164.430000000008,3901.5899999999892
2007,3311.5499999999993,6632.010000000002,9891.089999999993,8240.760000000002,16470.629999999997,9849.510000000002
2008,1095.9299999999985,1368.179999999993,2333.4299999999857,2031.4799999999886,3570.9300000000076,2694.7799999999916
2009,144.53999999999724,265.3199999999997,436.5899999999965,398.97000000000116,728.6399999999994,532.6199999999953
2010,991.9799999999977,1450.3499999999985,2134.9349999999977,2168.0999999999985,3277.8899999999994,2885.8499999999985
2011,-4447.575,686.5650000000023,1269.675000000003,847.4400000000023,6986.924999999988,1008.3150000000023
2012,-276.21000000000004,1044.449999999997,1828.0349999999817,1422.6299999999974,3932.2799999999843,1800.8099999999904
2013,-655.3799999999992,449.45999999999185,985.5449999999764,778.6349999999875,2626.470000000001,1107.8099999999904
2014,101.96999999999753,784.0800000000017,2044.3500000000058,1524.1050000000032,3986.730000000025,2264.1299999999974
2015,693.0,1351.3500000000058,2814.0750000000044,2140.8750000000073,4935.149999999994,2930.4000000000015
2016,-1483.0200000000004,514.7999999999956,1600.8300000000017,1009.7999999999956,4684.679999999993,1504.7999999999884
2017,-2706.659999999998,557.3700000000099,970.6950000000143,680.6250000000146,4648.049999999988,803.8799999999901
2018,-490.04999999999836,2178.989999999998,7418.564999999995,5651.415000000001,15327.179999999993,9123.840000000011
2019,0.0,0.0,0.0,0.0,0.0,0.0
