,lnp,lcp,anp,acp,hnp,hcp
2000,3341.0865000000013,3531.9090000000015,5186.0740000000005,4930.1590000000015,7021.423999999999,6328.4090000000015
2001,1405.432200000003,2922.1122000000014,2304.0322000000015,3368.612200000005,3187.2822000000015,3815.1122000000014
2002,-8840.825000000003,2561.5,-3684.149999999998,3149.0,1450.3500000000022,3736.5
2003,2776.874,3390.673999999999,4422.689000000004,3950.9140000000007,6038.653999999999,4511.153999999999
2004,-71.21599999999853,1461.7000000000007,3235.1039999999957,2063.2999999999993,6473.403999999991,2664.9000000000015
2005,1353.7999999999993,3490.220000000001,5427.649999999987,4817.970000000001,9424.799999999988,6145.719999999994
2006,-1066.2699999999968,2308.640000000003,4146.329999999998,3295.639999999985,9273.229999999989,4280.889999999985
2007,5073.740000000002,8394.199999999993,11476.380000000008,9921.700000000019,17730.17,11449.200000000012
2008,1459.2300000000032,1731.4800000000032,2647.8800000000047,2361.280000000006,3822.979999999996,2991.0800000000017
2009,214.79999999999927,335.57999999999447,498.0000000000073,462.4800000000032,775.4999999999854,589.3799999999974
2010,1381.2099999999973,1839.5799999999945,2479.739999999998,2521.0800000000017,3572.470000000045,3202.5800000000017
2011,-4265.110000000002,869.0300000000061,1389.340000000011,1021.7800000000061,6851.190000000002,1174.530000000006
2012,0.040000000002692104,1320.6999999999825,2055.159999999989,1679.7799999999916,4061.2300000000105,2038.8599999999933
2013,-536.1399999999976,568.7000000000044,1075.2099999999919,881.25,2635.75999999998,1193.800000000003
2014,309.5899999999983,991.6999999999898,2182.6199999999953,1694.349999999984,4032.6000000000204,2397.000000000022
2015,1050.5699999999997,1708.9199999999983,3096.344999999994,2458.5699999999997,5111.719999999987,3208.2199999999866
2016,-1345.460000000001,652.3599999999933,1662.614999999998,1122.3599999999933,4599.289999999994,1592.3600000000006
2017,-2558.0899999999965,705.9400000000023,1092.8399999999965,822.9699999999939,4590.020000000004,940.0
2018,87.98000000000866,2757.0200000000114,7730.870000000003,6054.07,15241.160000000003,9351.12000000001
2019,0.0,0.0,0.0,0.0,0.0,0.0
