,lnp,lcp,anp,acp
2000,0.07057907999999996,0.07439552999999996,0.10923857999999996,0.10384802999999997
2001,0.031217274000000034,0.061550874000000005,0.04977977400000007,0.07095587400000007
2002,-0.1740915,0.053955,-0.07019100000000002,0.06633
2003,0.059144580000000044,0.07142058000000012,0.09317088000000014,0.08322138000000014
2004,0.0001306800000000294,0.030789000000000014,0.06824267999999989,0.043460999999999986
2005,0.030789000000000014,0.07351740000000005,0.11474099999999984,0.10148489999999984
2006,-0.018869399999999915,0.04862879999999997,0.08829810000000012,0.06941880000000004
2007,0.1104048,0.17681400000000003,0.24199559999999984,0.20898899999999995
2008,0.03102660000000011,0.03647159999999974,0.055776599999999746,0.0497375999999998
2009,0.0046530000000001015,0.007068600000000006,0.010493999999999943,0.009741600000000034
2010,0.029581200000000026,0.038748600000000154,0.052440300000000134,0.05310360000000015
2011,-0.08437769999999993,0.018305099999999803,0.029967299999999815,0.0215225999999998
2012,0.0014058000000001267,0.027819000000000087,0.04349069999999978,0.03538260000000009
2013,-0.010117799999999916,0.011978999999999941,0.02270069999999978,0.0185625
2014,0.007246800000000003,0.020889000000000088,0.04609440000000002,0.03568949999999997
2015,0.022829399999999986,0.03599639999999999,0.06525089999999982,0.05178689999999988
2016,-0.026215200000000004,0.013741199999999953,0.03546180000000008,0.023641199999999953
2017,-0.05041079999999994,0.014869799999999959,0.0231362999999999,0.017334899999999907
2018,0.0046926000000001656,0.058073400000000254,0.1628648999999999,0.12752190000000016
