,lnp,lcp,anp,acp
2000,3528.953999999998,3719.776499999998,5461.928999999998,5192.401499999998
2001,1560.8637000000017,3077.5437,2488.9887000000035,3547.793700000004
2002,-8704.575,2697.75,-3509.550000000001,3316.5
2003,2957.229000000002,3571.029000000006,4658.544000000007,4161.069000000007
2004,6.53400000000147,1539.4500000000007,3412.1339999999946,2173.0499999999993
2005,1539.4500000000007,3675.8700000000026,5737.049999999992,5074.244999999992
2006,-943.4699999999957,2431.4399999999987,4414.905000000006,3470.9400000000023
2007,5520.24,8840.7,12099.779999999992,10449.449999999997
2008,1551.3300000000054,1823.5799999999872,2788.829999999987,2486.87999999999
2009,232.6500000000051,353.4300000000003,524.6999999999971,487.08000000000175
2010,1479.0600000000013,1937.4300000000076,2622.0150000000067,2655.1800000000076
2011,-4218.884999999997,915.2549999999901,1498.3649999999907,1076.12999999999
2012,70.29000000000633,1390.9500000000044,2174.534999999989,1769.1300000000047
2013,-505.8899999999958,598.9499999999971,1135.034999999989,928.125
2014,362.34000000000015,1044.4500000000044,2304.720000000001,1784.4749999999985
2015,1141.4699999999993,1799.8199999999997,3262.544999999991,2589.344999999994
2016,-1310.7600000000002,687.0599999999977,1773.0900000000038,1182.0599999999977
2017,-2520.5399999999972,743.489999999998,1156.814999999995,866.7449999999953
2018,234.6300000000083,2903.670000000013,8143.244999999995,6376.095000000008
