cik,date,url
"""0000078749""",2007-08-21,https://www.sec.gov//Archives/edgar/data/78749/000095015207007008/0000950152-07-007008-index.htm
"""0000078890""",2006-03-09,https://www.sec.gov//Archives/edgar/data/78890/000095011706001102/0000950117-06-001102-index.htm
"""0001362925""",2016-03-14,https://www.sec.gov//Archives/edgar/data/1362925/000104746916011081/0001047469-16-011081-index.htm
"""0001362925""",2016-03-14,https://www.sec.gov//Archives/edgar/data/1362925/000104746916011081/0001047469-16-011081-index.htm
"""0000852437""",2014-10-03,https://www.sec.gov//Archives/edgar/data/852437/000119312514362768/0001193125-14-362768-index.htm
"""0001010552""",2013-09-13,https://www.sec.gov//Archives/edgar/data/1010552/000119312513366611/0001193125-13-366611-index.htm
"""0000878748""",2005-05-26,https://www.sec.gov//Archives/edgar/data/878748/000095013505003050/0000950135-05-003050-index.htm
"""0000878748""",2005-05-26,https://www.sec.gov//Archives/edgar/data/878748/000095013505003050/0000950135-05-003050-index.htm
"""0000311657""",2006-07-05,https://www.sec.gov//Archives/edgar/data/311657/000107261306001502/0001072613-06-001502-index.htm
"""0000311657""",2004-08-27,https://www.sec.gov//Archives/edgar/data/311657/000031165704000023/0000311657-04-000023-index.htm
"""0000880804""",2010-10-27,https://www.sec.gov//Archives/edgar/data/880804/000089109210004537/0000891092-10-004537-index.htm
"""0000880804""",2007-04-23,https://www.sec.gov//Archives/edgar/data/880804/000093041307003710/0000930413-07-003710-index.htm
"""0000880804""",2010-10-27,https://www.sec.gov//Archives/edgar/data/880804/000089109210004537/0000891092-10-004537-index.htm
"""0000880804""",2007-04-23,https://www.sec.gov//Archives/edgar/data/880804/000093041307003710/0000930413-07-003710-index.htm
"""0000830656""",2004-12-27,https://www.sec.gov//Archives/edgar/data/830656/000104746904038371/0001047469-04-038371-index.htm
"""0000929647""",2003-11-25,https://www.sec.gov//Archives/edgar/data/929647/000104746903038586/0001047469-03-038586-index.htm
"""0000929647""",2003-11-25,https://www.sec.gov//Archives/edgar/data/929647/000104746903038586/0001047469-03-038586-index.htm
"""0001086670""",2008-08-15,https://www.sec.gov//Archives/edgar/data/1086670/000101172308000036/0001011723-08-000036-index.htm
"""0001086670""",2008-03-20,https://www.sec.gov//Archives/edgar/data/1086670/000101172308000013/0001011723-08-000013-index.htm
"""0001086670""",2007-10-01,https://www.sec.gov//Archives/edgar/data/1086670/000101172307000150/0001011723-07-000150-index.htm
"""0001086670""",2007-06-08,https://www.sec.gov//Archives/edgar/data/1086670/000101172307000104/0001011723-07-000104-index.htm
"""0001361538""",2008-11-26,https://www.sec.gov//Archives/edgar/data/1361538/000104746908012599/0001047469-08-012599-index.htm
"""0001554625""",2018-12-14,https://www.sec.gov//Archives/edgar/data/1554625/000155462518000148/0001554625-18-000148-index.htm
"""0001554625""",2018-09-14,https://www.sec.gov//Archives/edgar/data/1554625/000155462518000088/0001554625-18-000088-index.htm
"""0001554625""",2018-12-14,https://www.sec.gov//Archives/edgar/data/1554625/000155462518000148/0001554625-18-000148-index.htm
"""0001554625""",2018-09-14,https://www.sec.gov//Archives/edgar/data/1554625/000155462518000088/0001554625-18-000088-index.htm
"""0001070985""",2003-04-02,https://www.sec.gov//Archives/edgar/data/1070985/000095014403004434/0000950144-03-004434-index.htm
"""0001070985""",2003-04-02,https://www.sec.gov//Archives/edgar/data/1070985/000095014403004434/0000950144-03-004434-index.htm
