date,value,year,change
2002-09-23,2244888.32205,2002,0.0
2002-10-11,2244888.32205,2002,0.0
2002-10-18,2244888.32205,2002,1135364.98
2002-10-24,3380253.30205,2002,0.0
2002-10-27,3380253.30205,2002,0.0
2002-10-31,3380253.30205,2002,0.0
2002-11-01,3380253.30205,2002,0.0
2002-11-12,3380253.30205,2002,0.0
2002-11-14,3380253.30205,2002,0.0
2002-11-20,3380253.30205,2002,0.0
2002-11-21,3380253.30205,2002,0.0
2002-11-25,3380253.30205,2002,0.0
2002-11-27,3380253.30205,2002,0.0
2002-12-12,3380253.30205,2002,0.0
2002-12-17,3380253.30205,2002,0.0
2002-12-24,3380253.30205,2002,0.0
2002-12-29,3380253.30205,2002,49300.0
2003-01-05,3429553.30205,2003,0.0
2003-01-31,3429553.30205,2003,0.0
2003-02-04,3429553.30205,2003,0.0
2003-02-07,3429553.30205,2003,0.0
2003-02-18,3429553.30205,2003,0.0
2003-03-09,3429553.30205,2003,0.0
2003-03-10,3429553.30205,2003,0.0
2003-03-18,3429553.30205,2003,222500.0
2003-03-20,3652053.30205,2003,0.0
2003-03-21,3652053.30205,2003,0.0
2003-03-23,3652053.30205,2003,0.0
2003-04-14,3652053.30205,2003,0.0
2003-04-20,3652053.30205,2003,0.0
2003-04-23,3652053.30205,2003,149500.0
2003-04-27,3801553.30205,2003,0.0
2003-04-28,3801553.30205,2003,0.0
2003-05-09,3801553.30205,2003,0.0
2003-05-18,3801553.30205,2003,0.0
2003-05-20,3801553.30205,2003,0.0
2003-05-27,3801553.30205,2003,0.0
2003-05-28,3801553.30205,2003,0.0
2003-06-10,3801553.30205,2003,0.0
2003-06-11,3801553.30205,2003,34500.0
2003-06-15,3836053.30205,2003,0.0
2003-06-16,3836053.30205,2003,0.0
2003-06-30,3836053.30205,2003,0.0
2003-07-01,3836053.30205,2003,0.0
2003-07-06,3836053.30205,2003,0.0
2003-07-15,3836053.30205,2003,0.0
2003-07-20,3836053.30205,2003,0.0
2003-07-22,3836053.30205,2003,0.0
2003-08-04,3836053.30205,2003,0.0
2003-08-11,3836053.30205,2003,0.0
2003-08-18,3836053.30205,2003,574200.0
2003-08-25,4410253.30205,2003,0.0
2003-09-05,4410253.30205,2003,0.0
2003-09-15,4410253.30205,2003,0.0
2003-09-21,4410253.30205,2003,0.0
2003-09-30,4410253.30205,2003,0.0
2003-10-03,4410253.30205,2003,0.0
2003-10-10,4410253.30205,2003,0.0
