,mult_avg
2000,517346.3929999999
2001,113175.55999999994
2002,819490.7200000001
2003,545745.5704999999
2004,894924.4853999997
2005,1059761.1507999995
2006,737718.722800001
2007,1737632.2488000002
2008,331527.2440999998
2009,250288.3141999999
2010,2825768.3527999995
2011,1079955.9891
2012,1121242.2854000013
2013,1659061.7991999984
2014,1737761.5218000002
2015,1293624.1586000007
2016,1005273.7202000022
2017,1259612.740000002
2018,493535.7291999981
