,mult_avg
2000,665102.23
2001,282938.9
2002,1721404.7600000002
2003,1364363.92625
2004,1826222.7259999998
2005,2218702.0720000016
2006,1679514.5269999998
2007,4225984.07
2008,828818.110249998
2009,625720.7854999993
2010,6573601.3019999955
2011,2699889.9727500007
2012,2803105.7135000005
2013,4076467.6180000007
2014,4323336.13649999
2015,3091046.383999996
2016,2513184.300499998
2017,3149031.8500000015
2018,1233839.322999999
