,multi
2000,734456.949
2001,2829389.0
2002,10322030.91
2003,13643639.262499996
2004,13398501.659999996
2005,16824682.5
2006,14743552.430000007
2007,34373223.99000001
2008,8288181.102500007
2009,6257207.855000004
2010,58213037.58
2011,26544859.05250001
2012,28031057.13499999
2013,39661699.46000007
2014,41835258.16499996
2015,28640106.86499995
2016,25131843.004999936
2017,31490318.5
2018,12338393.230000079
