,mult_avg
2000,473909.1348
2001,442222.3029599999
2002,917103.0489999999
2003,928373.3370500002
2004,143465.0
2005,240982.5912899999
2006,385102.1499999999
2007,1205817.5112
2008,658664.0123300012
2009,453848.5067099994
2010,779651.0736400001
2011,111650.0
2012,2443782.6249199975
2013,0.0
2014,1067457.1363699995
2015,940179.6171700004
2016,1150341.43427
2017,101995.625
2018,270317.71990000084
