,multi
2000,466031.96342499997
2001,1760015.3849000002
2002,2988121.6674999995
2003,3974913.7885
2004,1674608.8718749993
2005,2250434.458125001
2006,631508.1762499996
2007,3740937.7750000022
2008,4719568.444750007
2009,603884.6075000018
2010,574699.7433749996
2011,2259244.646499995
2012,5500429.290999994
2013,5539241.162874997
2014,3517370.381125018
2015,1690207.6382500008
2016,5794373.173624992
2017,5223850.491500005
2018,-553669.5936249942
