,mult_avg
2000,548132.024
2001,254644.56000000006
2002,1431493.49
2003,1227927.6262500002
2004,1441572.2310000001
2005,1733954.7520000003
2006,1395378.6270000003
2007,3308187.58
2008,745937.2302499991
2009,563148.5254999995
2010,5320639.581999999
2011,2394998.0802499987
2012,2522794.8884999976
2013,3553554.3180000037
2014,3738369.1565000005
2015,2512358.078999996
2016,2261866.3805000037
2017,2834128.9299999997
2018,1110454.0179999918
