,multi
2000,58849.98749999999
2001,94222.25
2002,77663.45000000001
2003,123379.79999999993
2004,235394.9750000001
2005,377597.17500000016
2006,595252.3400000001
2007,731738.0049999997
2008,1241751.0050000004
2009,1206113.1999999983
2010,1465279.8500000006
2011,777645.8099999996
2012,1006554.7949999999
2013,1621748.4099999992
2014,2339364.01
2015,2930087.6937499996
2016,4295970.723749999
2017,2249324.7300000004
2018,3187801.1224999987
