,mult_avg
2000,361839.43499999994
2001,223107.74
2002,947184.775
2003,1047716.7962500004
2004,718616.7350000003
2005,1245435.5215000003
2006,1537332.6844999995
2007,2480827.8899999997
2008,752634.0557499994
2009,579269.966
2010,4315406.129500002
2011,1727057.1652499996
2012,2167794.600499999
2013,3410888.973000001
2014,3407899.922000002
2015,2015960.7749999985
2016,2215801.058000002
2017,2545730.4800000004
2018,1107277.0994999968
