,multi
2000,740251.324
2001,4244083.5
2002,15026004.11
2003,20465458.893749997
2004,19818264.549999997
2005,24894620.769999996
2006,21984328.58500001
2007,51056251.53
2008,12432271.653750002
2009,9385811.782499999
2010,86767113.17999995
2011,39566639.11374998
2012,42046585.702499986
2013,59414435.95000005
2014,62653873.38749999
2015,42799374.53499997
2016,37697764.50749999
2017,47235477.75
2018,18507589.84500003
