,mult_avg
2000,604726.3119999999
2001,268791.49
2002,1590239.015
2003,1296145.77625
2004,1632127.1459999997
2005,1971411.9420000007
2006,1534637.557000002
2007,3754015.629999999
2008,787378.6402499992
2009,594434.9854999986
2010,5927665.471999999
2011,2564894.5227500014
2012,2662949.978500001
2013,3811494.2880000025
2014,4026114.1864999942
2015,2793201.4289999977
2016,2387522.580499992
2017,2991580.3900000006
2018,1172149.3680000007
