,multi
2000,89251.91200000001
2001,210475.05
2002,238175.98000000016
2003,297100.0399999999
2004,127698.81000000006
2005,226590.85499999998
2006,296389.0399999998
2007,318115.01
2008,543263.7499999998
2009,348822.8099999996
2010,725633.1200000001
2011,551495.9250000003
2012,854159.9350000005
2013,487252.04000000097
2014,1195793.0349999992
2015,844516.8300000001
2016,1164923.1749999989
2017,1185076.4000000022
2018,1013137.8249999993
