,mult_low,mult_avg,mult_high
2000,5.10713105,6.6510223,8.36960105
2001,0.7756473066023368,0.3698053526781644,0.45962586320577653
2002,1.1594509989698742,1.6424973321419172,1.4716478608709274
2003,0.5359817957870713,0.4866218194438441,0.3650642677726042
2004,0.327886347974566,0.4259203174335153,0.45561284461142904
2005,0.21499315799935517,0.3628927955399869,0.8211286256577683
2006,0.26286757760252405,0.20155864318444838,0.3820642000927799
2007,0.4076784235577135,0.42208560923138555,0.3954431715361346
2008,0.20409371936816076,0.058211150152403586,0.046027169444000385
2009,0.07188655908209016,0.04025047463123264,0.05505916726389404
2010,0.27680391074141614,0.40646419314858223,0.48084804514360546
2011,0.14276230499465412,0.1186960643179796,0.1275827443853274
2012,0.1202651550701033,0.11015840003215624,0.06255885192609555
2013,0.08388664286921825,0.1425376081362566,0.23936866749369645
2014,0.0717380194918631,0.13231039580072532,0.10427386064528954
2015,0.07364883530940897,0.08344703084507041,0.1324785888851126
2016,0.04067833675510575,0.06262129157209637,0.04910148812208479
2017,0.0779740122864425,0.07384077094147778,0.08404030690569379
2018,0.015024057860546143,0.026942499746123075,0.029107977800566388
