,mult_avg
2000,191666.5
2001,192920.41499999998
2002,446395.41
2003,589750.3787499999
2004,437493.0
2005,828704.5709999998
2006,1062088.9725000001
2007,1670649.4449999994
2008,599037.5012499997
2009,528330.2504999992
2010,2659473.4075000007
2011,931716.1602500007
2012,1535955.709999999
2013,2557944.091
2014,2513481.9324999955
2015,1323166.3440000005
2016,1916786.2370000035
2017,1976547.8599999994
2018,950407.2150000036
