,mult_avg
2000,727501.324
2001,1131755.6
2002,4677259.02
2003,5457455.705
2004,5694785.659
2005,7140752.618000008
2006,6054619.628000002
2007,14353589.649999999
2008,3315272.440999992
2009,2502883.141999997
2010,23861649.237999998
2011,10799559.891000003
2012,11212422.854000002
2013,15953034.432000011
2014,16846099.266000003
2015,11637910.560999975
2016,10052737.201999992
2017,12596127.400000006
2018,4935357.291999996
