,mult_avg
2000,230940.48199999996
2001,205633.049
2002,238250.0
2003,417386.48624999984
2004,3000.0
2005,0.0
2006,0.0
2007,0.0
2008,115668.99000000022
2009,95300.0
2010,44576.92119999998
2011,140500.0
2012,-91400.00719999988
2013,99124.99999999977
2014,0.0
2015,65625.0
2016,0.0
2017,57000.0
2018,211353.16949999984
