,mult_avg
2000,576877.02522
2001,558312.9068705
2002,1295294.27765
2003,1463899.5066499999
2004,1271410.4247150002
2005,1270144.4489449998
2006,1009008.9698000001
2007,3602111.3081249995
2008,2102656.4285199977
2009,489355.89610500075
2010,1413374.8078199998
2011,201000.0
2012,2475136.8163500037
2013,0.0
2014,1153930.729185
2015,976044.7734249979
2016,1595414.9980849996
2017,2239405.6717000008
2018,681659.9336449988
