,mult_avg
2000,102825.72999999998
2001,120667.195
2002,181630.42499999993
2003,223325.35499999986
2004,282412.025
2005,503619.0800000002
2006,558779.1000000001
2007,805560.2300000004
2008,518366.58724999987
2009,446271.8094999995
2010,1191341.0499999993
2011,382743.06999999937
2012,788332.8509999998
2013,1278717.540500001
2014,1406484.1749999998
2015,1252226.0847499985
2016,1607023.4645000007
2017,1726949.9400000013
2018,655552.6710000001
