,mult_avg
2000,399266.035
2001,212202.81
2002,1001468.77
2003,1023272.8912499996
2004,978549.7509999997
2005,1146295.702
2006,1034255.8170000007
2007,2177232.0999999996
2008,621615.4902500007
2009,469290.90049999766
2010,3547096.232000001
2011,1620000.44025
2012,2102330.3884999976
2013,2824310.8680000044
2014,2934622.386499997
2015,1775350.6439999975
2016,1884888.870500002
2017,2361774.4400000013
2018,925378.7579999976
