,mult_avg
2000,365365.06146
2001,56587.77999999997
2002,475542.80225000024
2003,272872.78524999996
2004,530191.8151999998
2005,616553.0404
2006,402019.72140000015
2007,868816.1244000001
2008,165763.6220499999
2009,125144.15709999995
2010,1506424.9063999993
2011,539977.99455
2012,560621.1427000007
2013,843097.699599999
2014,868880.7609000001
2015,673864.1667999998
2016,502636.8601000011
2017,629806.370000001
2018,246767.86459999904
