,multi
2000,746048.074
2001,5658777.999999999
2002,19729985.11
2003,27287278.524999995
2004,26224600.189999998
2005,32948108.59999998
2006,29218812.980000004
2007,67715086.37
2008,16576362.205000013
2009,12514415.710000008
2010,115185886.24999994
2011,52566411.36500001
2012,56062114.26999998
2013,79160313.36000007
2014,83463795.14999998
2015,56944523.629999876
2016,50263686.00999987
2017,62980637.0
2018,24676786.460000157
