,mult_avg
2000,211338.91700000002
2001,141470.2
2002,494735.84000000014
2003,653764.4562499998
2004,410098.7450000001
2005,492852.4519999996
2006,524919.5369999995
2007,799779.6299999999
2008,414409.80524999974
2009,311821.9304999998
2010,1508090.5519999992
2011,766765.60525
2012,1401552.658499999
2013,1417857.557500001
2014,1493579.0419999976
2015,839061.4759999998
2016,1256590.9705000017
2017,1574515.9800000004
2018,533569.5169999972
