,multi
2000,728660.199
2001,1414694.5
2002,5618053.015
2003,6821819.631249998
2004,6978735.544999998
2005,8754740.220000003
2006,7502776.275000002
2007,17690193.220000006
2008,4144090.5512500033
2009,3128603.927500002
2010,29586880.48999998
2011,13499449.863749996
2012,14015528.567499995
2013,19906458.53
2014,21013468.2825
2015,14475685.219999969
2016,12565921.502499968
2017,15745159.25
2018,6169196.615000039
