,multi
2000,725183.574
2001,565877.8
2002,2795669.9800000004
2003,2728727.8525
2004,3149662.052
2005,3910642.324000003
2006,3157492.1339999996
2007,7677236.489999998
2008,1657636.220499996
2009,1251441.5709999986
2010,12408192.863999996
2011,5399779.945500001
2012,5606211.427000001
2013,8045752.996000007
2014,8510810.432999983
2015,5961468.467999995
2016,5026368.600999996
2017,6298063.700000003
2018,2467678.645999998
