cik,date,url,error,exp date,trading px,px date,tender px,low,high,increment,price cap,share cap,shares outstanding
"""0000078749""",8/21/2007,https://www.sec.gov//Archives/edgar/data/78749/000095015207007008/0000950152-07-007008-index.htm,,9/19/2007,15.63,8/20/2007,,16.25,18.5,0.25,,"6,000,000","31,437,014"
"""0000078890""",3/9/2006,https://www.sec.gov//Archives/edgar/data/78890/000095011706001102/0000950117-06-001102-index.htm,,4/6/2006,47.98,11/15/2005,,47.5,52.5,0.1,,"10,000,000","58,724,211"
"""0001362925""",3/14/2016,https://www.sec.gov//Archives/edgar/data/1362925/000104746916011081/0001047469-16-011081-index.htm,,4/11/2016,3.43,3/11/2016,,3.2,3.6,0.1,"$15,000,000 ",,"51,821,800"
"""0001362925""",3/14/2016,https://www.sec.gov//Archives/edgar/data/1362925/000104746916011081/0001047469-16-011081-index.htm,Duplicate,,,,,,,,,,
"""0000852437""",10/3/2014,https://www.sec.gov//Archives/edgar/data/852437/000119312514362768/0001193125-14-362768-index.htm,,11/3/2014,1.15,9/26/2014,1.2,,,,,"27,530,816","54,491,296"
"""0001010552""",9/13/2013,https://www.sec.gov//Archives/edgar/data/1010552/000119312513366611/0001193125-13-366611-index.htm,,10/30/2013,10.89,9/12/2013,,10,11.5,0.1,"$250,000,000 ",,"170,416,696"
"""0000878748""",5/26/2005,https://www.sec.gov//Archives/edgar/data/878748/000095013505003050/0000950135-05-003050-index.htm,,6/23/2005,30.8,5/25/2005,,30.75,34.5,0.25,,"4,878,048","27,963,724"
"""0000878748""",5/26/2005,https://www.sec.gov//Archives/edgar/data/878748/000095013505003050/0000950135-05-003050-index.htm,Duplicate,,,,,,,,,,
"""0000311657""",7/5/2006,https://www.sec.gov//Archives/edgar/data/311657/000107261306001502/0001072613-06-001502-index.htm,,8/2/2006,33.23,6/23/2006,35,,,,,"1,000,000","14,514,641"
"""0000311657""",8/27/2004,https://www.sec.gov//Archives/edgar/data/311657/000031165704000023/0000311657-04-000023-index.htm,,9/28/2004,23.75,8/25/2004,,22.5,26,0.5,,"1,000,000","16,460,515"
"""0000880804""",10/27/2010,https://www.sec.gov//Archives/edgar/data/880804/000089109210004537/0000891092-10-004537-index.htm,,12/3/2010,6.2,10/26/2010,,6.75,7.75,0.25,"$50,000,000 ",,"60,407,208"
"""0000880804""",4/23/2007,https://www.sec.gov//Archives/edgar/data/880804/000093041307003710/0000930413-07-003710-index.htm,,5/21/2007,11.25,4/19/2007,12.65,,,,,"11,857,707","70,362,492"
"""0000880804""",10/27/2010,https://www.sec.gov//Archives/edgar/data/880804/000089109210004537/0000891092-10-004537-index.htm,Duplicate,,,,,,,,,,
"""0000880804""",4/23/2007,https://www.sec.gov//Archives/edgar/data/880804/000093041307003710/0000930413-07-003710-index.htm,Duplicate,,,,,,,,,,
"""0000830656""",12/27/2004,https://www.sec.gov//Archives/edgar/data/830656/000104746904038371/0001047469-04-038371-index.htm,,1/26/2005,3.07,12/20/2004,3.5,,,,,"5,500,000","6,872,915"
"""0000929647""",11/25/2003,https://www.sec.gov//Archives/edgar/data/929647/000104746903038586/0001047469-03-038586-index.htm,No Historic / REIT,,,,,,,,,,
"""0000929647""",11/25/2003,https://www.sec.gov//Archives/edgar/data/929647/000104746903038586/0001047469-03-038586-index.htm,Duplicate,,,,,,,,,,
"""0001086670""",8/15/2008,https://www.sec.gov//Archives/edgar/data/1086670/000101172308000036/0001011723-08-000036-index.htm,Incomplete filing,,,,,,,,,,
"""0001086670""",3/20/2008,https://www.sec.gov//Archives/edgar/data/1086670/000101172308000013/0001011723-08-000013-index.htm,Incomplete filing,,,,,,,,,,
"""0001086670""",10/1/2007,https://www.sec.gov//Archives/edgar/data/1086670/000101172307000150/0001011723-07-000150-index.htm,Incomplete filing,,,,,,,,,,
"""0001086670""",6/8/2007,https://www.sec.gov//Archives/edgar/data/1086670/000101172307000104/0001011723-07-000104-index.htm,Incomplete filing,,,,,,,,,,
"""0001361538""",11/26/2008,https://www.sec.gov//Archives/edgar/data/1361538/000104746908012599/0001047469-08-012599-index.htm,Warrants / Options,,,,,,,,,,
"""0001554625""",12/14/2018,https://www.sec.gov//Archives/edgar/data/1554625/000155462518000148/0001554625-18-000148-index.htm,NAV,,,,,,,,,,
"""0001554625""",9/14/2018,https://www.sec.gov//Archives/edgar/data/1554625/000155462518000088/0001554625-18-000088-index.htm,NAV,,,,,,,,,,
"""0001554625""",12/14/2018,https://www.sec.gov//Archives/edgar/data/1554625/000155462518000148/0001554625-18-000148-index.htm,Duplicate,,,,,,,,,,
"""0001554625""",9/14/2018,https://www.sec.gov//Archives/edgar/data/1554625/000155462518000088/0001554625-18-000088-index.htm,Duplicate,,,,,,,,,,
"""0001070985""",4/2/2003,https://www.sec.gov//Archives/edgar/data/1070985/000095014403004434/0000950144-03-004434-index.htm,Convertible,,,,,,,,,,
"""0001070985""",4/2/2003,https://www.sec.gov//Archives/edgar/data/1070985/000095014403004434/0000950144-03-004434-index.htm,Duplicate,,,,,,,,,,
"""0000862801""",11/14/2001,https://www.sec.gov//Archives/edgar/data/862801/000095014901501814/0000950149-01-501814-index.htm,Too illiquid,,,,,,,,,,
"""0000080661""",9/14/2004,https://www.sec.gov//Archives/edgar/data/80661/000095015204006874/0000950152-04-006874-index.htm,,10/15/2004,79.25,9/10/2004,,78,88,0.5,,"17,100,000","216,975,111"
"""0000716459""",9/29/2000,https://www.sec.gov//Archives/edgar/data/716459/000100547700006859/0001005477-00-006859-index.htm,,10/31/2000,16.5,9/25/2000,,18,20,0.125,,"1,668,329","16,683,294"
"""0000868278""",11/20/2017,https://www.sec.gov//Archives/edgar/data/868278/000149315217013521/0001493152-17-013521-index.htm,,12/18/2017,2.11,11/9/2017,2.3,,,,,"1,700,000","12,428,461"
