cik,date,url,error,exp date,trading px,px date,tender px,low,high,increment,price cap,share cap,shares outstanding,tender type
"""0000913277""",5/8/2018,https://www.sec.gov//Archives/edgar/data/913277/000114420418025866/0001144204-18-025866-index.htm,,6/5/2018,7.1,5/7/2018,,6.6,7.2,0.1,"7,200,000",,"30,041,265",Modified Dutch Auction
"""0001267890""",12/2/2009,https://www.sec.gov//Archives/edgar/data/1267890/000134100409002395/0001341004-09-002395-index.htm,NAV,,,,,,,,,,,
"""0000840715""",8/18/2008,https://www.sec.gov//Archives/edgar/data/840715/000114036108019712/0001140361-08-019712-index.htm,,9/16/2008,3.74,8/8/2008,,4,5,0.05,,"2,000,000","10,229,035",Modified Dutch Auction
"""0000840715""",11/6/2006,https://www.sec.gov//Archives/edgar/data/840715/000114036106015524/0001140361-06-015524-index.htm,,12/6/2006,3.45,10/27/2006,4.25,,,,,"2,353,000","12,145,068",Tender Offer
"""0000840715""",8/18/2008,https://www.sec.gov//Archives/edgar/data/840715/000114036108019712/0001140361-08-019712-index.htm,Duplicate,,,,,,,,,,,
"""0000840715""",11/6/2006,https://www.sec.gov//Archives/edgar/data/840715/000114036106015524/0001140361-06-015524-index.htm,Duplicate,,,,,,,,,,,
"""0001288795""",10/13/2017,https://www.sec.gov//Archives/edgar/data/1288795/000139834417013110/0001398344-17-013110-index.htm,NAV,,,,,,,,,,,
"""0001288795""",10/13/2017,https://www.sec.gov//Archives/edgar/data/1288795/000139834417013110/0001398344-17-013110-index.htm,NAV,,,,,,,,,,,
"""0001288795""",10/13/2017,https://www.sec.gov//Archives/edgar/data/1288795/000139834417013110/0001398344-17-013110-index.htm,NAV,,,,,,,,,,,
"""0001316463""",10/13/2017,https://www.sec.gov//Archives/edgar/data/1316463/000139834417013111/0001398344-17-013111-index.htm,NAV,,,,,,,,,,,
"""0001288795""",10/13/2017,https://www.sec.gov//Archives/edgar/data/1288795/000139834417013110/0001398344-17-013110-index.htm,NAV,,,,,,,,,,,
"""0001350869""",10/13/2017,https://www.sec.gov//Archives/edgar/data/1350869/000139834417013112/0001398344-17-013112-index.htm,NAV,,,,,,,,,,,
"""0001156375""",8/1/2007,https://www.sec.gov//Archives/edgar/data/1156375/000119312507167751/0001193125-07-167751-index.htm,,8/29/2007,497.95,5/10/2007,560,,,,,"6,250,000","54,763,959",Tender Offer
"""0000021510""",2/10/2011,https://www.sec.gov//Archives/edgar/data/21510/000104746911000703/0001047469-11-000703-index.htm,,3/11/2011,56.12,2/8/2011,,53,59,,,"1,271,000","25,374,176",Modified Dutch Auction
"""0000021510""",2/15/2008,https://www.sec.gov//Archives/edgar/data/21510/000104746908001443/0001047469-08-001443-index.htm,,3/17/2008,26.55,2/11/2008,,26,29.5,,,"7,628,000","31,542,990",Modified Dutch Auction
"""0000941604""",2/7/2014,https://www.sec.gov//Archives/edgar/data/941604/000119312514039613/0001193125-14-039613-index.htm,,3/7/2014,63.64,2/6/2014,,66.82,76.32,0.25,"350,000,000",,"25,402,526",Modified Dutch Auction
"""0001425923""",6/20/2013,https://www.sec.gov//Archives/edgar/data/1425923/000119312513265073/0001193125-13-265073-index.htm,No Historic / REIT,,,,,,,,,,,
"""0001425923""",6/20/2013,https://www.sec.gov//Archives/edgar/data/1425923/000119312513265073/0001193125-13-265073-index.htm,No Historic / REIT,,,,,,,,,,,
"""0001425923""",6/20/2013,https://www.sec.gov//Archives/edgar/data/1425923/000119312513265073/0001193125-13-265073-index.htm,No Historic / REIT,,,,,,,,,,,
"""0000021759""",10/10/2003,https://www.sec.gov//Archives/edgar/data/21759/000104746903033094/0001047469-03-033094-index.htm,,11/21/2003,3.55,10/8/2003,,3.6,4.5,0.1,,"1,100,000","7,249,188",Modified Dutch Auction
"""0000021828""",7/9/2009,https://www.sec.gov//Archives/edgar/data/21828/000114036109016178/0001140361-09-016178-index.htm,Incomplete filing,,,,,,,,,,,
"""0000860730""",10/14/2005,https://www.sec.gov//Archives/edgar/data/860730/000095014405010332/0000950144-05-010332-index.htm,,11/14/2005,46.69,10/12/2005,,43,50,0.25,,"50,000,000","452,666,600",Single per Share Purchase Price
"""0000860730""",10/13/2004,https://www.sec.gov//Archives/edgar/data/860730/000095014404009665/0000950144-04-009665-index.htm,,11/10/2004,37.37,10/12/2004,,35,41,0.25,,"61,000,000","482,859,700",Modified Dutch Auction
"""0000860730""",10/14/2005,https://www.sec.gov//Archives/edgar/data/860730/000095014405010332/0000950144-05-010332-index.htm,Duplicate,,,,,,,,,,,
"""0000860730""",10/13/2004,https://www.sec.gov//Archives/edgar/data/860730/000095014404009665/0000950144-04-009665-index.htm,Duplicate,,,,,,,,,,,
"""0000860730""",10/14/2005,https://www.sec.gov//Archives/edgar/data/860730/000095014405010332/0000950144-05-010332-index.htm,Duplicate,,,,,,,,,,,
"""0000860730""",10/13/2004,https://www.sec.gov//Archives/edgar/data/860730/000095014404009665/0000950144-04-009665-index.htm,Duplicate,,,,,,,,,,,
"""0001252849""",10/10/2013,https://www.sec.gov//Archives/edgar/data/1252849/000119312513395960/0001193125-13-395960-index.htm,No Historic / REIT,,,,,,,,,,,
"""0000730030""",3/19/2007,https://www.sec.gov//Archives/edgar/data/730030/000089322007000806/0000893220-07-000806-index.htm,,4/13/2007,44.74,3/13/2007,,46,52,1,,"110,000","1,851,518",Modified Dutch Auction
"""0000742170""",10/1/2002,https://www.sec.gov//Archives/edgar/data/742170/000074217002000025/0000742170-02-000025-index.htm,Incomplete filing,,,,,,,,,,,
"""0001123735""",8/14/2007,https://www.sec.gov//Archives/edgar/data/1123735/000119312507182750/0001193125-07-182750-index.htm,,9/28/2007,23,8/9/2007,26,,,,,"200,000","1,375,278",Tender Offer
"""0001170833""",3/13/2008,https://www.sec.gov//Archives/edgar/data/1170833/000110465908017318/0001104659-08-017318-index.htm,,4/28/2008,9.6,3/12/2008,13,,,,,"1,000,000","7,662,715",Tender Offer
"""0000356028""",8/16/2006,https://www.sec.gov//Archives/edgar/data/356028/000104746906011030/0001047469-06-011030-index.htm,Incomplete filing,,,,,,,,,,,
"""0000023111""",3/16/2018,https://www.sec.gov//Archives/edgar/data/23111/000119312518084771/0001193125-18-084771-index.htm,,4/16/2018,5.24,2/14/2018,,8.05,9,0.05,,"1,530,990","15,309,909",Modified Dutch Auction
"""0000832488""",11/2/2015,https://www.sec.gov//Archives/edgar/data/832488/000114420415062063/0001144204-15-062063-index.htm,,12/1/2015,6.24,10/30/2015,7.5,,,,,"2,000,000","14,434,887",Tender Offer
"""0000024104""",4/22/2005,https://www.sec.gov//Archives/edgar/data/24104/000104746905011010/0001047469-05-011010-index.htm,,5/20/2005,28.22,3/23/2005,,27.5,30.5,,,"400,000","1,647,914",Single per Share Purchase Price
"""0001320461""",4/5/2013,https://www.sec.gov//Archives/edgar/data/1320461/000119312513143064/0001193125-13-143064-index.htm,,5/2/2013,41.6,4/4/2013,43,,,,,"4,651,162","16,958,820",Tender Offer
"""0000900075""",11/24/2015,https://www.sec.gov//Archives/edgar/data/900075/000119312515385933/0001193125-15-385933-index.htm,,12/23/2015,37.2,11/23/2015,,38,41,0.25,,"7,317,073","120,236,510",Modified Dutch Auction
"""0000900075""",6/4/2015,https://www.sec.gov//Archives/edgar/data/900075/000119312515212656/0001193125-15-212656-index.htm,,7/6/2015,34.55,6/3/2015,,34.75,36,0.25,,"13,888,888","126,522,148",Modified Dutch Auction
"""0000900075""",12/15/2010,https://www.sec.gov//Archives/edgar/data/900075/000114544310002830/0001145443-10-002830-index.htm,,1/14/2011,34.81,12/13/2010,38,,,,,"10,526,315","82,214,227",Tender Offer
"""0001070985""",4/2/2003,https://www.sec.gov//Archives/edgar/data/1070985/000095014403004434/0000950144-03-004434-index.htm,Too illiquid,,,,,,,,,,,
"""0001070985""",4/2/2003,https://www.sec.gov//Archives/edgar/data/1070985/000095014403004434/0000950144-03-004434-index.htm,Too illiquid,,,,,,,,,,,
"""0001070985""",4/2/2003,https://www.sec.gov//Archives/edgar/data/1070985/000095014403004434/0000950144-03-004434-index.htm,Too illiquid,,,,,,,,,,,
"""0001036141""",9/1/2009,https://www.sec.gov//Archives/edgar/data/1036141/000095012309040153/0000950123-09-040153-index.htm,,10/6/2009,4.24,8/25/2009,,4.25,5.1,,"27,500,000",,"64,361,746",Single per Share Purchase Price
"""0001402902""",11/30/2018,https://www.sec.gov//Archives/edgar/data/1402902/000095010318013928/0000950103-18-013928-index.htm,,12/28/2018,8.09,11/29/2018,,8.88,9.3,,"100,000,000",,"148,343,668",Modified Dutch Auction
"""0001402902""",11/20/2017,https://www.sec.gov//Archives/edgar/data/1402902/000095010317011352/0000950103-17-011352-index.htm,,12/19/2017,8.39,11/17/2017,,9.23,9.65,0.06,"200,000,000",,"168,892,385",Modified Dutch Auction
"""0000701347""",2/21/2014,https://www.sec.gov//Archives/edgar/data/701347/000104746914001124/0001047469-14-001124-index.htm,,3/21/2014,18.58,2/20/2014,,18.5,21,0.1,"68,800,000",,"42,108,496",Modified Dutch Auction
"""0000025354""",12/30/2005,https://www.sec.gov//Archives/edgar/data/25354/000095013705015447/0000950137-05-015447-index.htm,,1/30/2006,17.76,12/21/2005,,17,20,0.25,,"1,500,000","7,875,143",Single per Share Purchase Price
"""0000025354""",11/12/2004,https://www.sec.gov//Archives/edgar/data/25354/000095013704009926/0000950137-04-009926-index.htm,,12/20/2004,12.08,11/5/2004,,11,14,0.25,,"1,000,000","7,753,149",Single per Share Purchase Price
"""0001053706""",2/22/2016,https://www.sec.gov//Archives/edgar/data/1053706/000104746916010267/0001047469-16-010267-index.htm,,3/21/2016,17.14,2/19/2016,,18,19.75,0.25,"30,000,000",,"8,927,972",Modified Dutch Auction
"""0001067294""",12/13/2006,https://www.sec.gov//Archives/edgar/data/1067294/000095014406011492/0000950144-06-011492-index.htm,,1/11/2007,42.97,12/6/2006,,42,46,0.25,,"5,430,000","31,346,145",Modified Dutch Auction
"""0001067294""",3/31/2006,https://www.sec.gov//Archives/edgar/data/1067294/000095014406002962/0000950144-06-002962-index.htm,,4/27/2006,44.3,3/16/2006,,42,46,0.25,,"16,750,000","47,592,415",Modified Dutch Auction
"""0001005119""",10/3/2003,https://www.sec.gov//Archives/edgar/data/1005119/000094627503000682/0000946275-03-000682-index.htm,,11/7/2003,15.31,9/30/2003,,16,18.25,0.25,,"350,000","816,898",Modified Dutch Auction
"""0001294649""",4/27/2011,https://www.sec.gov//Archives/edgar/data/1294649/000095012311039937/0000950123-11-039937-index.htm,,5/25/2011,2.46,4/25/2011,2.6,,,,,"7,500,000","13,507,820",Tender Offer
"""0001294649""",12/1/2010,https://www.sec.gov//Archives/edgar/data/1294649/000095012310110088/0000950123-10-110088-index.htm,,12/29/2010,2.35,11/29/2010,2.4,,,,,"10,000,000","14,456,201",Tender Offer
"""0000885550""",9/19/2014,https://www.sec.gov//Archives/edgar/data/885550/000119312514346367/0001193125-14-346367-index.htm,,10/20/2014,125.54,9/18/2014,125.54,,,,,"995,698","21,593,588",Tender Offer
"""0000885550""",5/16/2014,https://www.sec.gov//Archives/edgar/data/885550/000119312514202189/0001193125-14-202189-index.htm,,6/16/2014,125.58,5/15/2014,125.58,,,,,"915,750","22,509,684",Tender Offer
"""0000885550""",2/26/2014,https://www.sec.gov//Archives/edgar/data/885550/000119312514068513/0001193125-14-068513-index.htm,,3/26/2014,133.35,2/25/2014,133.35,,,,,"637,420","22,947,170",Tender Offer
"""0000885550""",6/1/2012,https://www.sec.gov//Archives/edgar/data/885550/000119312512256452/0001193125-12-256452-index.htm,,6/29/2012,84.74,5/31/2012,84.45,,,,,"1,000,000","25,542,546",Tender Offer
"""0000885550""",2/9/2011,https://www.sec.gov//Archives/edgar/data/885550/000095012311010747/0000950123-11-010747-index.htm,,3/10/2011,62.82,2/8/2011,65.625,,,,,"1,904,761","27,303,946",Tender Offer
"""0000885550""",6/18/2010,https://www.sec.gov//Archives/edgar/data/885550/000095012310059096/0000950123-10-059096-index.htm,,7/19/2010,47.29,6/17/2010,50,,,,,"4,000,000","31,020,206",Tender Offer
"""0000885550""",8/28/2006,https://www.sec.gov//Archives/edgar/data/885550/000095012406004855/0000950124-06-004855-index.htm,,9/26/2006,27.87,8/25/2006,,28,31.5,0.5,,"3,500,000","33,362,080",Modified Dutch Auction
"""0000885550""",2/10/2006,https://www.sec.gov//Archives/edgar/data/885550/000095012406000545/0000950124-06-000545-index.htm,,3/13/2006,20,2/9/2006,,21,25,0.5,,"5,000,000","37,033,536",Modified Dutch Auction
"""0000885550""",8/11/2004,https://www.sec.gov//Archives/edgar/data/885550/000095012404003747/0000950124-04-003747-index.htm,,9/9/2004,14.1,8/20/2004,,14,20,0.5,,"3,000,000","39,249,803",Modified Dutch Auction
"""0000885550""",11/26/2003,https://www.sec.gov//Archives/edgar/data/885550/000095013703006154/0000950137-03-006154-index.htm,,1/6/2004,13.83,11/25/2003,,12.5,17,0.5,,"2,600,000","42,010,005",Modified Dutch Auction
"""0000885550""",9/19/2014,https://www.sec.gov//Archives/edgar/data/885550/000119312514346367/0001193125-14-346367-index.htm,Duplicate,,,,,,,,,,,
"""0000885550""",5/16/2014,https://www.sec.gov//Archives/edgar/data/885550/000119312514202189/0001193125-14-202189-index.htm,Duplicate,,,,,,,,,,,
"""0000885550""",2/26/2014,https://www.sec.gov//Archives/edgar/data/885550/000119312514068513/0001193125-14-068513-index.htm,Duplicate,,,,,,,,,,,
"""0000885550""",6/1/2012,https://www.sec.gov//Archives/edgar/data/885550/000119312512256452/0001193125-12-256452-index.htm,Duplicate,,,,,,,,,,,
"""0000885550""",2/9/2011,https://www.sec.gov//Archives/edgar/data/885550/000095012311010747/0000950123-11-010747-index.htm,Duplicate,,,,,,,,,,,
"""0000885550""",6/18/2010,https://www.sec.gov//Archives/edgar/data/885550/000095012310059096/0000950123-10-059096-index.htm,Duplicate,,,,,,,,,,,
"""0000885550""",8/28/2006,https://www.sec.gov//Archives/edgar/data/885550/000095012406004855/0000950124-06-004855-index.htm,Duplicate,,,,,,,,,,,
"""0000885550""",2/10/2006,https://www.sec.gov//Archives/edgar/data/885550/000095012406000545/0000950124-06-000545-index.htm,Duplicate,,,,,,,,,,,
"""0000885550""",8/11/2004,https://www.sec.gov//Archives/edgar/data/885550/000095012404003747/0000950124-04-003747-index.htm,Duplicate,,,,,,,,,,,
"""0000885550""",11/26/2003,https://www.sec.gov//Archives/edgar/data/885550/000095013703006154/0000950137-03-006154-index.htm,Duplicate,,,,,,,,,,,
"""0001075736""",11/3/2010,https://www.sec.gov//Archives/edgar/data/1075736/000135448810003328/0001354488-10-003328-index.htm,,12/2/2010,3.36,7/27/2010,,4.35,4.75,0.1,"4,750,000",,"11,402,341",Modified Dutch Auction
"""0001091862""",10/31/2014,https://www.sec.gov//Archives/edgar/data/1091862/000119312514390929/0001193125-14-390929-index.htm,Duplicate,,,,,,,,,,,
"""0000862692""",6/30/2015,https://www.sec.gov//Archives/edgar/data/862692/000119312515241079/0001193125-15-241079-index.htm,,7/28/2015,2.29,6/29/2015,3.25,,,,,"750,000","9,665,734",Tender Offer
"""0000020629""",2/3/2005,https://www.sec.gov//Archives/edgar/data/20629/000089322005000212/0000893220-05-000212-index.htm,,3/4/2005,30.85,1/28/2005,,30,35,0.25,,"1,500,000","11,978,849",Modified Dutch Auction
"""0001463833""",11/17/2009,https://www.sec.gov//Archives/edgar/data/1463833/000121390009003292/0001213900-09-003292-index.htm,Too illiquid,,,,,,,,,,,
"""0001058623""",5/17/2006,https://www.sec.gov//Archives/edgar/data/1058623/000095014406005146/0000950144-06-005146-index.htm,,6/14/2006,11.08,5/9/2006,,11,12.5,0.25,,"11,500,000","47,700,000",Modified Dutch Auction
"""0000064803""",3/28/2007,https://www.sec.gov//Archives/edgar/data/64803/000119312507067414/0001193125-07-067414-index.htm,,4/24/2007,31.32,3/7/2007,35,,,,,"150,000,000","1,541,260,791",Tender Offer
"""0000064803""",3/28/2007,https://www.sec.gov//Archives/edgar/data/64803/000119312507067414/0001193125-07-067414-index.htm,Duplicate,,,,,,,,,,,
"""0000064803""",3/28/2007,https://www.sec.gov//Archives/edgar/data/64803/000119312507067414/0001193125-07-067414-index.htm,Duplicate,,,,,,,,,,,
"""0000064803""",3/28/2007,https://www.sec.gov//Archives/edgar/data/64803/000119312507067414/0001193125-07-067414-index.htm,Duplicate,,,,,,,,,,,
"""0000768411""",6/30/2008,https://www.sec.gov//Archives/edgar/data/768411/000089710108001447/0000897101-08-001447-index.htm,,7/29/2008,8.6,6/23/2008,,8.75,10.75,0.25,,"1,714,285","8,215,914",Modified Dutch Auction
"""0001310445""",2/15/2017,https://www.sec.gov//Archives/edgar/data/1310445/000157104917001378/0001571049-17-001378-index.htm,NAV,,,,,,,,,,,
"""0001051003""",3/16/2018,https://www.sec.gov//Archives/edgar/data/1051003/000119312518084821/0001193125-18-084821-index.htm,NAV,,,,,,,,,,,
"""0001051003""",3/16/2018,https://www.sec.gov//Archives/edgar/data/1051003/000119312518084821/0001193125-18-084821-index.htm,NAV,,,,,,,,,,,
"""0000902277""",4/20/2005,https://www.sec.gov//Archives/edgar/data/902277/000100579405000343/0001005794-05-000343-index.htm,,5/17/2005,25.68,4/15/2005,,25,28.75,,,"1,739,130","38,479,224",Single per Share Purchase Price
"""0001101396""",12/7/2001,https://www.sec.gov//Archives/edgar/data/1101396/000101989201500080/0001019892-01-500080-index.htm,,1/10/2002,18.9,11/16/2001,,19,22,0.25,,"350,000","2,334,149",Single per Share Purchase Price
"""0001101396""",12/7/2001,https://www.sec.gov//Archives/edgar/data/1101396/000101989201500080/0001019892-01-500080-index.htm,Duplicate,,,,,,,,,,,
"""0001081022""",11/25/2002,https://www.sec.gov//Archives/edgar/data/1081022/000113388402001167/0001133884-02-001167-index.htm,,12/23/2002,9.25,11/22/2002,11,,,,,"565,000","18,822,616",Tender Offer
"""0000813298""",11/15/2000,https://www.sec.gov//Archives/edgar/data/813298/000092242300500050/0000922423-00-500050-index.htm,,12/14/2000,2.375,11/2/2000,,2.2,3,0.1,,"1,500,000","15,781,972",Modified Dutch Auction
"""0000813298""",11/15/2000,https://www.sec.gov//Archives/edgar/data/813298/000092242300500050/0000922423-00-500050-index.htm,Duplicate,,,,,,,,,,,
