cik,date,url,error,exp date,trading px,px date,tender px,low,high,increment,price cap,share cap,shares outstanding
"""0001129155""",8/26/2016,https://www.sec.gov//Archives/edgar/data/1129155/000157104916017780/0001571049-16-017780-index.htm,,11/1/2016,8.5,8/16/2006,9,,,,,"3,200,000","38,355,421"
"""0000810113""",12/17/2001,https://www.sec.gov//Archives/edgar/data/810113/000095011601501270/0000950116-01-501270-index.htm,,1/18/2002,9.6,12/13/2001,,11,12.5,0.1,,"2,000,000","10,160,214"
"""0000810113""",12/17/2001,https://www.sec.gov//Archives/edgar/data/810113/000095011601501270/0000950116-01-501270-index.htm,Duplicate,,,,,,,,,,
"""0000899629""",12/20/2001,https://www.sec.gov//Archives/edgar/data/899629/000095011601501278/0000950116-01-501278-index.htm,,1/22/2002,6.26,12/19/2001,,6.05,6.5,0.05,,"4,784,615","28,653,356"
"""0001437226""",2/7/2012,https://www.sec.gov//Archives/edgar/data/1437226/000119312512043294/0001193125-12-043294-index.htm,,3/7/2012,4.57,2/6/2012,,4.65,5.5,0.05,,"608,000","3,569,102"
"""0001437226""",2/7/2012,https://www.sec.gov//Archives/edgar/data/1437226/000119312512043294/0001193125-12-043294-index.htm,Duplicate,,,,,,,,,,
"""0001068796""",11/13/2009,https://www.sec.gov//Archives/edgar/data/1068796/000119312509233620/0001193125-09-233620-index.htm,,12/11/2009,5.03,11/12/2009,,5.3,6.1,,,"6,557,377","39,386,342"
"""0001235511""",2/11/2010,https://www.sec.gov//Archives/edgar/data/1235511/000089180410000685/0000891804-10-000685-index.htm,NAV,,,,,,,,,"1,190,339",
"""0001235511""",2/11/2010,https://www.sec.gov//Archives/edgar/data/1235511/000089180410000685/0000891804-10-000685-index.htm,Duplicate,,,,,,,,,,
"""0001235511""",2/11/2010,https://www.sec.gov//Archives/edgar/data/1235511/000089180410000685/0000891804-10-000685-index.htm,Duplicate,,,,,,,,,,
"""0001118237""",10/30/2003,https://www.sec.gov//Archives/edgar/data/1118237/000095012403003375/0000950124-03-003375-index.htm,,12/4/2003,15.729,10/27/2003,18.5,,,,,"1,250,000","19,115,141"
"""0001141299""",11/3/2014,https://www.sec.gov//Archives/edgar/data/1141299/000104746914008748/0001047469-14-008748-index.htm,,12/3/2014,3.04,10/28/2014,,3.25,3.75,0.1,"75,000,000",,"43,506,621"
"""0001057698""",2/19/2010,https://www.sec.gov//Archives/edgar/data/1057698/000095012310014409/0000950123-10-014409-index.htm,,3/29/2010,8.1,2/18/2010,,8.1,9.3,0.05,"450,000,000",,"120,137,829"
"""0001057698""",2/19/2010,https://www.sec.gov//Archives/edgar/data/1057698/000095012310014409/0000950123-10-014409-index.htm,Duplicate,,,,,,,,,,
"""0001159297""",5/10/2005,https://www.sec.gov//Archives/edgar/data/1159297/000119312505102927/0001193125-05-102927-index.htm,,6/8/2005,30.51,5/6/2005,,28.25,32.5,0.25,,"16,000,000","205,083,779"
"""0000064803""",3/28/2007,https://www.sec.gov//Archives/edgar/data/64803/000119312507067414/0001193125-07-067414-index.htm,,4/24/2007,31.32,3/7/2007,35,,,,,"150,000,000","1,541,260,791"
"""0001020996""",11/15/2004,https://www.sec.gov//Archives/edgar/data/1020996/000095012304013616/0000950123-04-013616-index.htm,,12/15/2004,31.874,11/5/2004,,30,35,0.5,,"500,000","10,022,083"
"""0001099219""",8/14/2008,https://www.sec.gov//Archives/edgar/data/1099219/000095012308009534/0000950123-08-009534-index.htm,Warrants / Options,,,,,,,,,,
"""0001026816""",12/4/2003,https://www.sec.gov//Archives/edgar/data/1026816/000119312503089099/0001193125-03-089099-index.htm,,1/15/224,16.25,11/12/2003,,16.25,18,0.25,,"10,000,000","244,961,119"
"""0001019737""",5/9/2007,https://www.sec.gov//Archives/edgar/data/1019737/000119312507107014/0001193125-07-107014-index.htm,,6/7/2007,18.99,4/25/2007,,19.5,22.5,0.25,,"10,500,000","58,100,000"
"""0001019737""",5/9/2007,https://www.sec.gov//Archives/edgar/data/1019737/000119312507107014/0001193125-07-107014-index.htm,Duplicate,,,,,,,,,,
"""0001099941""",11/26/2003,https://www.sec.gov//Archives/edgar/data/1099941/000090266403001801/0000902664-03-001801-index.htm,NAV,,,,,,,,,,
"""0001099941""",11/26/2003,https://www.sec.gov//Archives/edgar/data/1099941/000090266403001801/0000902664-03-001801-index.htm,Duplicate,,,,,,,,,,
"""0000863900""",7/13/2009,https://www.sec.gov//Archives/edgar/data/863900/000095012309021892/0000950123-09-021892-index.htm,NAV,,,,,,,,,,
"""0000863900""",11/24/2008,https://www.sec.gov//Archives/edgar/data/863900/000095013708013974/0000950137-08-013974-index.htm,NAV,,,,,,,,,,
"""0000863900""",5/30/2008,https://www.sec.gov//Archives/edgar/data/863900/000095013708008042/0000950137-08-008042-index.htm,NAV,,,,,,,,,,
"""0000863900""",10/22/2007,https://www.sec.gov//Archives/edgar/data/863900/000095013707015801/0000950137-07-015801-index.htm,NAV,,,,,,,,,,
"""0000863900""",12/4/2000,https://www.sec.gov//Archives/edgar/data/863900/000100547700008271/0001005477-00-008271-index.htm,NAV,,,,,,,,,,
"""0000065433""",9/3/2009,https://www.sec.gov//Archives/edgar/data/65433/000119312509186643/0001193125-09-186643-index.htm,NAV,,,,,,,,,,
"""0000065433""",5/8/2002,https://www.sec.gov//Archives/edgar/data/65433/000092838502001873/0000928385-02-001873-index.htm,NAV,,,,,,,,,,
"""0000811922""",10/17/2007,https://www.sec.gov//Archives/edgar/data/811922/000095015607000634/0000950156-07-000634-index.htm,Modified Dutch Auction,,,,,,,,,,
"""0000815353""",6/19/2009,https://www.sec.gov//Archives/edgar/data/815353/000114420409033500/0001144204-09-033500-index.htm,Warrants / Options,,,,,,,,,,
"""0000789019""",7/21/2006,https://www.sec.gov//Archives/edgar/data/789019/000119312506150966/0001193125-06-150966-index.htm,,8/17/2006,22.85,7/20/2006,,24.75,22.5,0.1,," 808,080,808","10,004,128,767"
"""0000785024""",12/15/2005,https://www.sec.gov//Archives/edgar/data/785024/000091648005000170/0000916480-05-000170-index.htm,,1/31/2006,32.9,12/2/2005,36,,,,,"125,000","1,703,577"
"""0000785024""",12/15/2000,https://www.sec.gov//Archives/edgar/data/785024/000091648000000037/0000916480-00-000037-index.htm,,1/31/2001,22,11/30/2000,25.5,,,,,"90,557","1,811,144"
"""0000769520""",10/23/2000,https://www.sec.gov//Archives/edgar/data/769520/000091205700045525/0000912057-00-045525-index.htm,,11/22/2000,5.375,10/20/2000,7,,,,,"1,500,000","10,132,000"
"""0000723209""",8/15/2007,https://www.sec.gov//Archives/edgar/data/723209/000089706907001674/0000897069-07-001674-index.htm,,9/13/2007,14.85,8/10/2007,14,,,,,"300,000","414,617"
"""0000723209""",11/20/2006,https://www.sec.gov//Archives/edgar/data/723209/000089706906002452/0000897069-06-002452-index.htm,,12/19/2006,15.01,11/15/2006,16.25,,,,,"246,154","674,191"
"""0001032208""",1/26/2000,https://www.sec.gov//Archives/edgar/data/1032208/0000898430-00-000176-index.html,,2/25/2000,17.25,1/25/2000,,17.5,20,0.125,,"36,000,000","240,345,446"
"""0001010775""",7/12/2006,https://www.sec.gov//Archives/edgar/data/1010775/000095014406006605/0000950144-06-006605-index.htm,,8/21/2006,26.8,7/10/2006,,25.75,29,0.25,,"43,000,000","300,023,413"
"""0001384710""",11/21/2014,https://www.sec.gov//Archives/edgar/data/1384710/000104746914009453/0001047469-14-009453-index.htm,Incomplete filing,,,,,,,,,,
"""0000865752""",5/10/2016,https://www.sec.gov//Archives/edgar/data/865752/000104746916013044/0001047469-16-013044-index.htm,,6/8/2016,148.79,5/9/2016,,142,160,1,"2,000,000,000",,"203,042,661"
