cik,date,url,error,exp date,trading px,px date,tender px,low,high,increment,price cap,share cap,shares outstanding
"""0001016470""",8/29/2008,https://www.sec.gov//Archives/edgar/data/1016470/000104746908009760/0001047469-08-009760-index.htm,,9/29/2008,5,8/6/2008,,5.75,6.5,0.25,"$10,000,000 ",,"15,776,115"
"""0000745308""",8/24/2015,https://www.sec.gov//Archives/edgar/data/745308/000119312515299386/0001193125-15-299386-index.htm,,9/22/2015,16.89,8/21/2015,18,,,,,"16,666,666",
"""0000745308""",8/24/2015,https://www.sec.gov//Archives/edgar/data/745308/000119312515299386/0001193125-15-299386-index.htm,Duplicate,,,,,,,,,,
"""0000745308""",8/24/2015,https://www.sec.gov//Archives/edgar/data/745308/000119312515299386/0001193125-15-299386-index.htm,Duplicate,,,,,,,,,,
"""0001017968""",12/21/2000,https://www.sec.gov//Archives/edgar/data/1017968/000092838500003439/0000928385-00-003439-index.htm,,1/23/2001,5.5,12/14/2000,8,,,,,"16,250,000","28,692,766"
"""0000745614""",11/1/2002,https://www.sec.gov//Archives/edgar/data/745614/000095013402013237/0000950134-02-013237-index.htm,,12/6/2002,14.575,10/29/2002,,14,16.5,0.25,,"700,000","7,661,119"
"""0000912567""",5/11/2001,https://www.sec.gov//Archives/edgar/data/912567/000092708901500201/0000927089-01-500201-index.htm,,6/11/2001,9.25,5/1/2001,,11.5,13,0.25,,"230,770","1,507,100"
"""0001081212""",7/19/2001,https://www.sec.gov//Archives/edgar/data/1081212/000094627501500133/0000946275-01-500133-index.htm,,8/16/2001,13.2,7/13/2001,,14.25,16.25,0.25,,"90,000","361,427"
"""0000913241""",2/20/2008,https://www.sec.gov//Archives/edgar/data/913241/000101905608000298/0001019056-08-000298-index.htm,,3/18/2008,16.78,2/15/2008,,16.5,20,0.5,,"2,600,000","20,117,983"
"""0000720672""",9/5/2003,https://www.sec.gov//Archives/edgar/data/720672/000095013403012488/0000950134-03-012488-index.htm,,10/10/2003,12.54,9/4/2003,13.25,,,,,"850,000","7,085,226"
"""0000931948""",7/22/2003,https://www.sec.gov//Archives/edgar/data/931948/000095013303002464/0000950133-03-002464-index.htm,,8/19/2003,4.86,6/20/2003,7.5,,,,,"4,350,000","89,627,853"
"""0001473597""",1/31/2014,https://www.sec.gov//Archives/edgar/data/1473597/000104746914000485/0001047469-14-000485-index.htm,,2/28/2014,1.47,1/30/2014,,1,1.54,0.05,"$30,000,000 ",,"41,886,915"
"""0001473597""",1/31/2014,https://www.sec.gov//Archives/edgar/data/1473597/000104746914000485/0001047469-14-000485-index.htm,Duplicate,,,,,,,,,,
"""0001013934""",4/17/2001,https://www.sec.gov//Archives/edgar/data/1013934/000095013301001228/0000950133-01-001228-index.htm,,5/15/2001,36.44,4/16/2001,25,,,,,"8,500,000","15,503,697"
"""0001013934""",4/17/2001,https://www.sec.gov//Archives/edgar/data/1013934/000095013301001228/0000950133-01-001228-index.htm,Duplicate,,,,,,,,,,
"""0000820067""",2/7/2002,https://www.sec.gov//Archives/edgar/data/820067/000095014402001039/0000950144-02-001039-index.htm,,3/15/2002,14.85,2/4/2002,,14,17,,,"180,000","1,934,643"
"""0001042521""",9/25/2007,https://www.sec.gov//Archives/edgar/data/1042521/000111650207001846/0001116502-07-001846-index.htm,Warrants / Options,,,,,,,,,,
